@type,@id,meta:expandedURI,rdfs:label / skos:prefLabel,rdfs:comment / skos:definition,dct:description,vann:usageNote,vs:term_status,owl:equivalentClass / owl:equivalentProperty / skos:exactMatch,rdfs:subClassOf / rdfs:subPropertyOf / skos:broader,schema:domainIncludes / skos:inScheme,schema:rangeIncludes,meta:targetScheme,skos:topConceptOf,skos:relatedMatch,skos:broadMatch,skos:narrowMatch,meta:domainFor,skos:hasTopConcept,meta:hasConcept
Type,URI,Full URI,Label,Definition,Comment,Usage Note,Term Status,Equivalent Term,SubTerm Of,Domain / Scheme,Range,Target Concept Scheme,Top Concept Of,Related Match,Broad Match,Narrow Match,Has Properties,Has Top Concept,Has Concept
rdfs:Class,ceterms:AcademicCertificate,https://purl.org/ctdl/terms/AcademicCertificate,Academic Certificate,"Credential awarded for successful completion of a formal education program, demonstrating requisite knowledge and skills.","Formal education programs include academic, career, technical programs with defined completion requirements and often require approvals by provincial or federal government.",,vs:unstable,,ceterms:Certificate,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:appealProcess
ceterms:approvedBy
ceterms:approvedIn
ceterms:assessmentDeliveryType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:broadAlignment
ceterms:commonConditions
ceterms:commonCosts
ceterms:complaintProcess
ceterms:coPrerequisite
ceterms:copyrightHolder
ceterms:corequisite
ceterms:credentialId
ceterms:credentialStatusType
ceterms:ctid
ceterms:dateEffective
ceterms:description
ceterms:developmentProcess
ceterms:earnings
ceterms:employmentOutcome
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:exactAlignment
ceterms:expirationDate
ceterms:financialAssistance
ceterms:hasPart
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:holders
ceterms:identifier
ceterms:image
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isicV4
ceterms:isNonCredit
ceterms:isPartOf
ceterms:isPreparationFor
ceterms:isRecommendedFor
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:latestVersion
ceterms:learningDeliveryType
ceterms:maintenanceProcess
ceterms:majorAlignment
ceterms:minorAlignment
ceterms:naics
ceterms:name
ceterms:narrowAlignment
ceterms:nextVersion
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:ownedBy
ceterms:preparationFrom
ceterms:previousVersion
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:relatedAction
ceterms:renewal
ceterms:renewalFrequency
ceterms:renewedBy
ceterms:renewedIn
ceterms:requires
ceterms:reviewProcess
ceterms:revocation
ceterms:revocationProcess
ceterms:revokedBy
ceterms:revokedIn
ceterms:sameAs
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetPathway
ceterms:usesVerificationService
ceterms:versionIdentifier",,
rdfs:Class,ceterms:AccreditAction,https://purl.org/ctdl/terms/AccreditAction,Accredit Action,"Action by an independent, neutral, and authoritative agent that certifies an entity as meeting a prescribed set of standards.","Since an instance of ceterms:CredentialingAction is a claim that a certain agent has taken the action being described, creation of such a ceterms:CredentialingAction should be reserved to the agent of that action.",,vs:stable,,ceterms:CredentialingAction,,,,,,,,"ceterms:actingAgent
ceterms:actionStatusType
ceterms:ctid
ceterms:description
ceterms:endDate
ceterms:evidenceOfAction
ceterms:instrument
ceterms:name
ceterms:object
ceterms:participant
ceterms:resultingAward
ceterms:startDate",,
rdfs:Class,ceterms:AdvancedStandingAction,https://purl.org/ctdl/terms/AdvancedStandingAction,Advanced Standing Action,Claim by an agent asserting that the object credential of the action provides advanced standing for a credential under the asserting agent's authority.,"Since an instance of ceterms:CredentialingAction is a claim that a certain agent has taken the action being described, creation of such a ceterms:CredentialingAction should be reserved to the agent of that action.",,vs:stable,,ceterms:CredentialingAction,,,,,,,,"ceterms:actingAgent
ceterms:actionStatusType
ceterms:ctid
ceterms:description
ceterms:endDate
ceterms:evidenceOfAction
ceterms:instrument
ceterms:name
ceterms:object
ceterms:participant
ceterms:startDate",,
rdfs:Class,ceterms:Agent,https://purl.org/ctdl/terms/Agent,Agent,Organization or person that acts or has the power to act.,Broad type that includes both organizations and people who play roles in the lifecycle of a resource.,,vs:stable,dct:Agent,,,,,,,,,,,
rdfs:Class,ceterms:AggregateDataProfile,https://purl.org/ctdl/terms/AggregateDataProfile,Aggregate Data Profile,Resource containing summary statistical data.,,"To express more complex data, use qdata:DataSetProfile.",vs:stable,,,,,,,,,,"ceterms:alternateName
ceterms:currency
ceterms:dateEffective
ceterms:demographicInformation
ceterms:description
ceterms:expirationDate
ceterms:highEarnings
ceterms:jobsObtained
ceterms:jurisdiction
ceterms:lowEarnings
ceterms:medianEarnings
ceterms:name
ceterms:numberAwarded
ceterms:postReceiptMonths
ceterms:source
qdata:relevantDataSet",,
rdfs:Class,ceterms:AlignmentMap,https://purl.org/ctdl/terms/AlignmentMap,Alignment Map,An entity comprised of a set of alignment or mapping assertions between two existing entities such as mapping a certificate providing advanced standing to a degree.,"Alignment maps provide the means for parties to assert sets of alignments between already existing entities created by themselves or other parties--e.g., a 3rd party mapping of a learning resource owned by one party to a credential owned by another; or, mapping a military occupational experience or Military Occupational Specialty (MOS code) as advanced standing to a course or credential.",,vs:stable,,,,,,,,,,ceterms:hasStatement,,
rdfs:Class,ceterms:ApprenticeshipCertificate,https://purl.org/ctdl/terms/ApprenticeshipCertificate,Apprentice Certificate,Credential awarded at the Apprentice level for successful completion of an apprenticeship program in industry trades and professions.,,,vs:stable,,ceterms:WorkBasedLearningCertificate,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:appealProcess
ceterms:approvedBy
ceterms:approvedIn
ceterms:assessmentDeliveryType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:broadAlignment
ceterms:commonConditions
ceterms:commonCosts
ceterms:complaintProcess
ceterms:coPrerequisite
ceterms:copyrightHolder
ceterms:corequisite
ceterms:credentialId
ceterms:credentialStatusType
ceterms:ctid
ceterms:dateEffective
ceterms:description
ceterms:developmentProcess
ceterms:earnings
ceterms:employmentOutcome
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:exactAlignment
ceterms:expirationDate
ceterms:financialAssistance
ceterms:hasPart
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:holders
ceterms:identifier
ceterms:image
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isicV4
ceterms:isNonCredit
ceterms:isPartOf
ceterms:isPreparationFor
ceterms:isRecommendedFor
ceterms:isRegisteredApprenticeship
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:latestVersion
ceterms:learningDeliveryType
ceterms:maintenanceProcess
ceterms:majorAlignment
ceterms:minorAlignment
ceterms:naics
ceterms:name
ceterms:narrowAlignment
ceterms:nextVersion
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:ownedBy
ceterms:preparationFrom
ceterms:previousVersion
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:registeredBy
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:relatedAction
ceterms:renewal
ceterms:renewalFrequency
ceterms:renewedBy
ceterms:renewedIn
ceterms:requires
ceterms:reviewProcess
ceterms:revocation
ceterms:revocationProcess
ceterms:revokedBy
ceterms:revokedIn
ceterms:sameAs
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetPathway
ceterms:usesVerificationService
ceterms:versionIdentifier",,
rdfs:Class,ceterms:ApproveAction,https://purl.org/ctdl/terms/ApproveAction,Approve Action,"Action by an independent, neutral, and authoritative agent that pronounces a favorable judgment of a credential.","Since an instance of ceterms:CredentialingAction is a claim that a certain agent has taken the action being described, creation of such a ceterms:CredentialingAction should be reserved to the agent of that action.",,vs:unstable,,ceterms:CredentialingAction,,,,,,,,"ceterms:actingAgent
ceterms:actionStatusType
ceterms:ctid
ceterms:description
ceterms:endDate
ceterms:evidenceOfAction
ceterms:instrument
ceterms:name
ceterms:object
ceterms:participant
ceterms:startDate",,
rdfs:Class,ceterms:Assessment,https://purl.org/ctdl/terms/Assessment,Assessment,"Direct, indirect, formative, and summative evaluation or estimation of the nature, ability, or quality of an entity, performance, or outcome of an action.",,,vs:stable,,,,,,,,,,,,
rdfs:Class,ceterms:AssessmentComponent,https://purl.org/ctdl/terms/AssessmentComponent,Assessment Component,"Resource that identifies a direct, indirect, formative, and summative evaluation or estimation of the nature, ability, or quality of a resource, performance, or outcome of an action.",Instances act as proxies or stand-ins for other resources in the context of a particular pathway so that relationships between them as components of that pathway can be stated without implying that the those relationships are true of the resources in other contexts.,,vs:stable,,ceterms:PathwayComponent,,,,,,,,"ceasn:hasChild
ceasn:isChildOf
ceterms:alternateName
ceterms:componentDesignation
ceterms:ctid
ceterms:description
ceterms:hasCondition
ceterms:identifier
ceterms:isDestinationComponentOf
ceterms:isPartOf
ceterms:name
ceterms:pointValue
ceterms:precededBy
ceterms:precedes
ceterms:proxyFor
ceterms:sourceData
ceterms:subjectWebpage",,
rdfs:Class,ceterms:AssessmentProfile,https://purl.org/ctdl/terms/AssessmentProfile,Assessment Profile,Entity that describes the key characteristics of an assessment for a credential.,"Characteristics described include, but are not limited to, processes for assessment development, maintenance, selection and evaluation as well as assessment examples.",The ceterms:AssessmentProfile is intended for use in describing stand-alone assessments. Assessments that are a part of a learning opportunity associated with a credential should be described as part the ceterms:LearningOpportunityProfile for that learning opportunity.,vs:stable,,schema:CreativeWork,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:approvedBy
ceterms:approvedIn
ceterms:assesses
ceterms:assessmentExample
ceterms:assessmentExampleDescription
ceterms:assessmentMethodDescription
ceterms:assessmentMethodType
ceterms:assessmentOutput
ceterms:assessmentUseType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:commonConditions
ceterms:commonCosts
ceterms:coPrerequisite
ceterms:corequisite
ceterms:creditUnitTypeDescription
ceterms:creditValue
ceterms:ctid
ceterms:dateEffective
ceterms:deliveryType
ceterms:deliveryTypeDescription
ceterms:description
ceterms:developmentProcess
ceterms:entryCondition
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:expirationDate
ceterms:externalResearch
ceterms:financialAssistance
ceterms:hasGroupEvaluation
ceterms:hasGroupParticipation
ceterms:hasOffering
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:identifier
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isNonCredit
ceterms:isPreparationFor
ceterms:isProctored
ceterms:isRecommendedFor
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:learningMethodDescription
ceterms:lifeCycleStatusType
ceterms:maintenanceProcess
ceterms:name
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:offerFrequencyType
ceterms:ownedBy
ceterms:preparationFrom
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:requires
ceterms:sameAs
ceterms:scheduleFrequencyType
ceterms:scheduleTimingType
ceterms:scoringMethodDescription
ceterms:scoringMethodExample
ceterms:scoringMethodExampleDescription
ceterms:scoringMethodType
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetAssessment
ceterms:targetLearningResource
ceterms:targetPathway
ceterms:versionIdentifier",,
rdfs:Class,ceterms:AssociateDegree,https://purl.org/ctdl/terms/AssociateDegree,Associate Degree,College/university award for students typically completing the first two years of full-time postsecondary school education.,"Equivalent to an award at UNESCO ISCED 2011, Level 5, and United States IPEDS Award Level 3.",Use this class for types of Associate Degrees that are not covered by more specific subtypes.,vs:stable,,ceterms:Degree,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:appealProcess
ceterms:approvedBy
ceterms:approvedIn
ceterms:assessmentDeliveryType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:broadAlignment
ceterms:commonConditions
ceterms:commonCosts
ceterms:complaintProcess
ceterms:coPrerequisite
ceterms:copyrightHolder
ceterms:corequisite
ceterms:credentialId
ceterms:credentialStatusType
ceterms:ctid
ceterms:dateEffective
ceterms:degreeConcentration
ceterms:degreeMajor
ceterms:degreeMinor
ceterms:description
ceterms:developmentProcess
ceterms:earnings
ceterms:employmentOutcome
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:exactAlignment
ceterms:expirationDate
ceterms:financialAssistance
ceterms:hasPart
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:holders
ceterms:identifier
ceterms:image
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isicV4
ceterms:isPartOf
ceterms:isPreparationFor
ceterms:isRecommendedFor
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:latestVersion
ceterms:learningDeliveryType
ceterms:maintenanceProcess
ceterms:majorAlignment
ceterms:minorAlignment
ceterms:naics
ceterms:name
ceterms:narrowAlignment
ceterms:nextVersion
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:ownedBy
ceterms:preparationFrom
ceterms:previousVersion
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:relatedAction
ceterms:renewal
ceterms:renewalFrequency
ceterms:renewedBy
ceterms:renewedIn
ceterms:requires
ceterms:reviewProcess
ceterms:revocation
ceterms:revocationProcess
ceterms:revokedBy
ceterms:revokedIn
ceterms:sameAs
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetPathway
ceterms:usesVerificationService
ceterms:versionIdentifier",,
rdfs:Class,ceterms:AssociateOfAppliedArtsDegree,https://purl.org/ctdl/terms/AssociateOfAppliedArtsDegree,Associate of Applied Arts Degree,"College/university award for students typically completing two years of full-time postsecondary school education in a technical, professional, or vocational program with an emphasis on direct employment in the arts and social sciences fields.","Equivalent to an award at UNESCO ISCED 2011, Level 5, and United States IPEDS Award Level 3.",Use the name property to capture local variations on what this class covers.,vs:unstable,,ceterms:AssociateDegree,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:appealProcess
ceterms:approvedBy
ceterms:approvedIn
ceterms:assessmentDeliveryType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:broadAlignment
ceterms:commonConditions
ceterms:commonCosts
ceterms:complaintProcess
ceterms:coPrerequisite
ceterms:copyrightHolder
ceterms:corequisite
ceterms:credentialId
ceterms:credentialStatusType
ceterms:ctid
ceterms:dateEffective
ceterms:degreeConcentration
ceterms:degreeMajor
ceterms:degreeMinor
ceterms:description
ceterms:developmentProcess
ceterms:earnings
ceterms:employmentOutcome
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:exactAlignment
ceterms:expirationDate
ceterms:financialAssistance
ceterms:hasPart
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:holders
ceterms:identifier
ceterms:image
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isicV4
ceterms:isPartOf
ceterms:isPreparationFor
ceterms:isRecommendedFor
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:latestVersion
ceterms:learningDeliveryType
ceterms:maintenanceProcess
ceterms:majorAlignment
ceterms:minorAlignment
ceterms:naics
ceterms:name
ceterms:narrowAlignment
ceterms:nextVersion
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:ownedBy
ceterms:preparationFrom
ceterms:previousVersion
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:relatedAction
ceterms:renewal
ceterms:renewalFrequency
ceterms:renewedBy
ceterms:renewedIn
ceterms:requires
ceterms:reviewProcess
ceterms:revocation
ceterms:revocationProcess
ceterms:revokedBy
ceterms:revokedIn
ceterms:sameAs
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetPathway
ceterms:usesVerificationService
ceterms:versionIdentifier",,
rdfs:Class,ceterms:AssociateOfAppliedScienceDegree,https://purl.org/ctdl/terms/AssociateOfAppliedScienceDegree,Associate of Applied Science Degree,"College/university award for students typically completing two years of full-time postsecondary school education in a technical, professional, or vocational program with an emphasis on direct employment in applied scientific and technological fields.","Equivalent to an award at UNESCO ISCED 2011, Level 5, and United States IPEDS Award Level 3.",Use the name property to capture local variations on what this class covers.,vs:unstable,,ceterms:AssociateDegree,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:appealProcess
ceterms:approvedBy
ceterms:approvedIn
ceterms:assessmentDeliveryType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:broadAlignment
ceterms:commonConditions
ceterms:commonCosts
ceterms:complaintProcess
ceterms:coPrerequisite
ceterms:copyrightHolder
ceterms:corequisite
ceterms:credentialId
ceterms:credentialStatusType
ceterms:ctid
ceterms:dateEffective
ceterms:degreeConcentration
ceterms:degreeMajor
ceterms:degreeMinor
ceterms:description
ceterms:developmentProcess
ceterms:earnings
ceterms:employmentOutcome
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:exactAlignment
ceterms:expirationDate
ceterms:financialAssistance
ceterms:hasPart
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:holders
ceterms:identifier
ceterms:image
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isicV4
ceterms:isPartOf
ceterms:isPreparationFor
ceterms:isRecommendedFor
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:latestVersion
ceterms:learningDeliveryType
ceterms:maintenanceProcess
ceterms:majorAlignment
ceterms:minorAlignment
ceterms:naics
ceterms:name
ceterms:narrowAlignment
ceterms:nextVersion
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:ownedBy
ceterms:preparationFrom
ceterms:previousVersion
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:relatedAction
ceterms:renewal
ceterms:renewalFrequency
ceterms:renewedBy
ceterms:renewedIn
ceterms:requires
ceterms:reviewProcess
ceterms:revocation
ceterms:revocationProcess
ceterms:revokedBy
ceterms:revokedIn
ceterms:sameAs
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetPathway
ceterms:usesVerificationService
ceterms:versionIdentifier",,
rdfs:Class,ceterms:AssociateOfArtsDegree,https://purl.org/ctdl/terms/AssociateOfArtsDegree,Associate of Arts Degree,College/university award for students typically completing the first two years of full-time postsecondary school education with an emphasis in the liberal arts and sciences such as the humanities and social science fields.,"Equivalent to an award at UNESCO ISCED 2011, Level 5, and United States IPEDS Award Level 3.",Use the name property to capture local variations on what this class covers.,vs:unstable,,ceterms:AssociateDegree,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:appealProcess
ceterms:approvedBy
ceterms:approvedIn
ceterms:assessmentDeliveryType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:broadAlignment
ceterms:commonConditions
ceterms:commonCosts
ceterms:complaintProcess
ceterms:coPrerequisite
ceterms:copyrightHolder
ceterms:corequisite
ceterms:credentialId
ceterms:credentialStatusType
ceterms:ctid
ceterms:dateEffective
ceterms:degreeConcentration
ceterms:degreeMajor
ceterms:degreeMinor
ceterms:description
ceterms:developmentProcess
ceterms:earnings
ceterms:employmentOutcome
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:exactAlignment
ceterms:expirationDate
ceterms:financialAssistance
ceterms:hasPart
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:holders
ceterms:identifier
ceterms:image
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isicV4
ceterms:isPartOf
ceterms:isPreparationFor
ceterms:isRecommendedFor
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:latestVersion
ceterms:learningDeliveryType
ceterms:maintenanceProcess
ceterms:majorAlignment
ceterms:minorAlignment
ceterms:naics
ceterms:name
ceterms:narrowAlignment
ceterms:nextVersion
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:ownedBy
ceterms:preparationFrom
ceterms:previousVersion
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:relatedAction
ceterms:renewal
ceterms:renewalFrequency
ceterms:renewedBy
ceterms:renewedIn
ceterms:requires
ceterms:reviewProcess
ceterms:revocation
ceterms:revocationProcess
ceterms:revokedBy
ceterms:revokedIn
ceterms:sameAs
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetPathway
ceterms:usesVerificationService
ceterms:versionIdentifier",,
rdfs:Class,ceterms:AssociateOfScienceDegree,https://purl.org/ctdl/terms/AssociateOfScienceDegree,Associate of Science Degree,College/university award for students typically completing the first two years of full-time postsecondary school education with an emphasis in scientific and technical fields and professional fields of study.,"Equivalent to an award at UNESCO ISCED 2011, Level 5, and United States IPEDS Award Level 3.",Use the name property to capture local variations on what this class covers.,vs:unstable,,ceterms:AssociateDegree,,,,,,,,"ceterms:accreditedBy
ceterms:accreditedIn
ceterms:administrationProcess
ceterms:advancedStandingFrom
ceterms:aggregateData
ceterms:alternateName
ceterms:appealProcess
ceterms:approvedBy
ceterms:approvedIn
ceterms:assessmentDeliveryType
ceterms:audienceLevelType
ceterms:audienceType
ceterms:availabilityListing
ceterms:availableAt
ceterms:availableOnlineAt
ceterms:broadAlignment
ceterms:commonConditions
ceterms:commonCosts
ceterms:complaintProcess
ceterms:coPrerequisite
ceterms:copyrightHolder
ceterms:corequisite
ceterms:credentialId
ceterms:credentialStatusType
ceterms:ctid
ceterms:dateEffective
ceterms:degreeConcentration
ceterms:degreeMajor
ceterms:degreeMinor
ceterms:description
ceterms:developmentProcess
ceterms:earnings
ceterms:employmentOutcome
ceterms:estimatedCost
ceterms:estimatedDuration
ceterms:exactAlignment
ceterms:expirationDate
ceterms:financialAssistance
ceterms:hasPart
ceterms:hasProxy
ceterms:hasRubric
ceterms:hasSupportService
ceterms:holders
ceterms:identifier
ceterms:image
ceterms:inCatalog
ceterms:industryType
ceterms:inLanguage
ceterms:instructionalProgramType
ceterms:isAdvancedStandingFor
ceterms:isicV4
ceterms:isPartOf
ceterms:isPreparationFor
ceterms:isRecommendedFor
ceterms:isRequiredFor
ceterms:jurisdiction
ceterms:keyword
ceterms:latestVersion
ceterms:learningDeliveryType
ceterms:maintenanceProcess
ceterms:majorAlignment
ceterms:minorAlignment
ceterms:naics
ceterms:name
ceterms:narrowAlignment
ceterms:nextVersion
ceterms:objectOfAction
ceterms:occupationType
ceterms:offeredBy
ceterms:offeredIn
ceterms:ownedBy
ceterms:preparationFrom
ceterms:previousVersion
ceterms:processStandards
ceterms:processStandardsDescription
ceterms:providesTransferValueFor
ceterms:receivesTransferValueFrom
ceterms:recognizedBy
ceterms:recognizedIn
ceterms:recommends
ceterms:region
ceterms:regulatedBy
ceterms:regulatedIn
ceterms:relatedAction
ceterms:renewal
ceterms:renewalFrequency
ceterms:renewedBy
ceterms:renewedIn
ceterms:requires
ceterms:reviewProcess
ceterms:revocation
ceterms:revocationProcess
ceterms:revokedBy
ceterms:revokedIn
ceterms:sameAs
ceterms:subject
ceterms:subjectWebpage
ceterms:supersededBy
ceterms:supersedes
ceterms:targetPathway
ceterms:usesVerificationService
ceterms:versionIdentifier",,
